file,region,scene,kb,note,source
backwater_anatolia_train_station.webp,anatolia,train_station,121.9,"Anatolia rural station, Kangal, sunset tracks",backwater_turkey_train_port-5d73dc5c-99d9-47d7-abc1-880871f32d86.png
backwater_anatolia_village_cafe.webp,anatolia,village_cafe,123.5,Anatolia/Balkans men under tree + tractors,ChatGPT_Image_Jul_29__2026__04_11_21_PM-39ac06eb-d940-4a40-a797-b403a53c9a32.png
backwater_eu_east_kneipe_night.webp,eu_east,kneipe_night,122.4,DE east Kneipe Joschy's Eck night,ChatGPT_Image_Jul_29__2026__05_52_13_PM-8d498831-ad06-46ac-af90-62c3614f1e58.png
backwater_eu_east_shepherd.webp,eu_east,shepherd,125.8,RO village: shepherd + sheep flock,ChatGPT_Image_Jul_29__2026__04_38_49_PM-ebe5d9bf-c9d8-4bf0-b923-1261d725e31a.png
backwater_eu_east_square_night.webp,eu_east,square_night,121.4,"CE village square, wet cobbles, fountain, church tower",backwater_centraleurope_port-e2622277-a94a-4485-9ef6-40b18e1dc8c1.png
backwater_eu_north_bakery.webp,eu_north,bakery,123.7,"FR village bakery at dusk, dogs at door",backwater_france_bakery_port-7e782742-c083-4c62-8efd-66942cf50527.png
backwater_eu_north_biergarten.webp,eu_north,biergarten,125.7,DE Biergarten under-table dog + pretzel,ChatGPT_Image_Jul_29__2026__04_03_58_PM-a4aac996-bcf3-4643-8673-28d40e1ee435.png
backwater_eu_north_canal_lock.webp,eu_north,canal_lock,124.9,UK/NL canal lock + narrowboat,ChatGPT_Image_Jul_29__2026__04_36_48_PM-fbcb730e-70b1-48b9-9cda-adf6d2382696.png
backwater_eu_north_farmstand.webp,eu_north,farmstand,125.9,SE self-service farmstand + Volvo 240,ChatGPT_Image_Jul_29__2026__04_23_12_PM-a6d6f300-4380-48bb-85a7-f11ddbdb8933.png
backwater_eu_north_lake_volvo.webp,eu_north,lake_volvo,126.4,"SE misty lake, Volvo 240, red boathouse",ChatGPT_Image_Jul_29__2026__03_57_21_PM-6668db9b-5ede-4cc4-baec-18e261d72c54.png
backwater_eu_north_metzgerei.webp,eu_north,metzgerei,124.8,"DE Dorf-Metzgerei, dogs waiting",ChatGPT_Image_Jul_29__2026__03_27_47_PM-c20332d0-f761-4990-8b28-6656b535fcd3.png
backwater_eu_north_misty_lane.webp,eu_north,misty_lane,126.1,"W-Europe misty dirt lane, bike, two shepherds",backwater_westerneurope_retro_port-e69beb2a-b293-46d5-8e13-88397058a767.png
backwater_eu_north_train_platform.webp,eu_north,train_platform,74.5,"FR/BE rural train platform, Weimaraner+corgi, blue hour",backwater_northernfrancebe_port-1c0347fd-c1c7-47b9-9866-db83ce6cbdc9.png
backwater_eu_south_garage.webp,eu_south,garage,121.9,"PT village garage, Fiat Panda on lift",ChatGPT_Image_Jul_29__2026__04_05_47_PM-76fd284d-85fb-41e6-bd9b-d3b2225b701a.png
backwater_eu_south_harbor.webp,eu_south,harbor,124.4,"Med fishing harbor dusk, dogs+cats+nets",ChatGPT_Image_Jul_29__2026__05_52_27_PM-45670780-82e8-43b0-9dce-6bf0f62ae4bd.png
backwater_eu_south_pueblo_cards.webp,eu_south,pueblo_cards,125.8,"ES pueblo: men under umbrellas, olive hills",ChatGPT_Image_Jul_29__2026__05_51_56_PM-3eb868a9-c8e0-495b-8dbb-dfc4810a6351.png
backwater_latam_guatemala_bus.webp,latam,guatemala_bus,121.9,GT highlands chicken bus + volcano,ChatGPT_Image_Jul_29__2026__03_16_27_PM-51b37663-64f6-4ea4-bfda-4cff10d9c80e.png
backwater_latam_guatemala_market.webp,latam,guatemala_market,123.0,GT market street chicken-bus variant,ChatGPT_Image_Jul_29__2026__03_16_21_PM-05ea3f8d-6ca2-41d6-ac1e-41bc83a10a17.png
backwater_latam_hillside_dusk.webp,latam,hillside_dusk,118.8,"LATAM dirt plaza, bus, hillside houses, dusk",backwater_southamerica.2_port-1963c69b-0d35-49e7-9311-a0d1ca41f7c6.png
backwater_latam_street_baker.webp,latam,street_baker,124.3,"LATAM street: baker, fruit stand, bus, kids",backwater_southamerica_1_port-11100316-8141-4de1-8dfa-a0dcf98574f8.png
backwater_maghreb_souk.webp,maghreb,souk,125.5,"Maghreb mountain souk, donkeys, djellabas",ChatGPT_Image_Jul_29__2026__04_36_31_PM-47924050-9795-49af-8716-cc1198d1dee1.png
backwater_na_amtrak_station.webp,na,amtrak_station,92.3,"US Midwest Amtrak (Russell KS), grain elevators",backwater_upper_midwestus_port-c0f2a72b-0c1d-4c45-8eaa-fce1ae2b4da9.png
backwater_na_baseball_field.webp,na,baseball_field,121.6,US youth baseball + grain elevator sunset,ChatGPT_Image_Jul_29__2026__05_20_49_PM-5b1b8d27-4d45-4996-a1a1-a60014d22f95.png
backwater_na_carnival.webp,na,carnival,125.5,US rural carnival Ferris wheel dusk,ChatGPT_Image_Jul_29__2026__04_46_19_PM-3728443b-08e6-4e69-b458-756920e2746a.png
backwater_na_feed_store.webp,na,feed_store,122.6,US feed/supply store porch + tractor,ChatGPT_Image_Jul_29__2026__07_33_11_PM-4f3a54ab-b1f8-4337-a7d6-5f924cd98283.png
backwater_na_firestation.webp,na,firestation,122.8,US rural volunteer fire station + mountains,ChatGPT_Image_Jul_29__2026__07_33_40_PM-251a3902-f45a-4860-ac71-b1d7e2e7a45e.png
backwater_na_grain_street.webp,na,grain_street,123.5,US grain-elevator main street + boardwalk,ChatGPT_Image_Jul_29__2026__05_52_04_PM-d0be9c85-dc92-4099-b30e-6566b25dc10e.png
backwater_na_industrial_yard.webp,na,industrial_yard,112.2,"US industrial edge, three guard dogs, dawn",backwater_ussuburg_port-b06ac57a-b7dc-49f1-9bb4-deffe5744429.png
backwater_na_lakeside_lodge.webp,na,lakeside_lodge,122.6,NA misty lakeside lodge/store + canoes,ChatGPT_Image_Jul_29__2026__04_36_20_PM-0031409a-16fe-4c3e-ba60-dff2cbea952f.png
backwater_na_last_chance_gas.webp,na,last_chance_gas,122.7,US prairie last-chance gas station,ChatGPT_Image_Jul_29__2026__03_00_29_PM-906ca241-7eaa-49e0-b94c-994ab2e2c78e.png
backwater_na_logging_stop.webp,na,logging_stop,122.1,PNW logging truck + roadside cafe,ChatGPT_Image_Jul_29__2026__05_49_12_PM-7485d614-8e6c-45a7-9fbc-d6f055aa472f.png
backwater_na_peach_stand.webp,na,peach_stand,125.9,US roadside peach stand + vintage truck,ChatGPT_Image_Jul_29__2026__09_34_24_PM-1ead1ad9-8bc5-4687-adcd-e8a8eeb9247c.png
backwater_na_rodeo_arena.webp,na,rodeo_arena,121.7,"US rodeo/ranch arena, saddle on fence",ChatGPT_Image_Jul_29__2026__07_32_47_PM-8a18918e-bba1-4c52-9a15-9c1ea51be307.png
