ort,cc,place_type,attractiveness_score,state_name
Plitvička Jezera,HR,national_park,100,Lika-Senj County
Tallinn,EE,city,100,Harju County
Plitvice Lakes,HR,national_park,100,Lika-Senj County
Reykjavík,IS,medium_town,100,null
Venice,IT,medium_town,100,Veneto
Stockholm,SE,city,100,Stockholm County
Riga,LV,city,100,null
Hvar,HR,village,98,null
Andorra la Vella,AD,medium_town,98,null
Grand Canyon,US,nature_reserve,98,Arizona
Koper,SI,medium_town,98,null
Hallstätter See,AT,nature_reserve,97,Upper Austria
Lago di Braies,IT,nature_reserve,97,Trentino – Alto Adige/Südtirol
Lake Garda,IT,nature_reserve,97,Veneto
Königssee,DE,nature_reserve,97,Bayern
Crater Lake,US,nature_reserve,97,Oregon
Eibsee,DE,nature_reserve,97,Bavaria
Visby,SE,medium_town,96,Gotland County
Charlottetown,CA,medium_town,96,Prince Edward Island
Oeschinen Lake,CH,natural_park,95,Bern
Podgorica,ME,city,95,Podgorica Capital City
Peyto Lake,CA,natural_park,95,Alberta
Moraine Lake,CA,natural_park,95,Alberta
Telluride,US,village,95,Colorado
Bratislava,SK,city,95,Bratislava
Garibaldi Lake,CA,natural_park,95,British Columbia
Vilnius,LT,city,95,Vilnius County
Oslo,NO,city,95,Oslo
Rabat,MA,city,95,Rabat-Salé-Kénitra
London,GB,city,95,England
Lake Louise,CA,natural_park,95,Alberta
Tunis,TN,city,95,Tunis
Sintra,PT,medium_town,95,Lisbon
Budapest,HU,city,95,Budapest
Lisbon,PT,city,95,Lisbon
Helsinki,FI,city,95,Uusimaa
Washington,US,city,95,District of Columbia
Maligne Lake,CA,natural_park,95,Alberta
Dune du Pilat,FR,beach,95,Nouvelle-Aquitaine
Belgrade,RS,city,95,Central Serbia
Paris,FR,city,95,Ile-de-France
Amsterdam,NL,city,95,North Holland
Ölüdeniz,TR,beach,95,Muğla
Kyiv,UA,city,95,null
Ottawa,CA,city,95,Ontario
Brussels,BE,city,95,Brussels-Capital
Reynisfjara,IS,beach,95,null
Colmar,FR,medium_town,95,Grand Est
Dublin,IE,city,95,County Dublin
Chisinau,MD,city,95,Chișinău
Tirana,AL,city,95,Tirana County
Ankara,TR,city,95,Ankara
Warsaw,PL,city,95,Masovian Voivodeship
Copenhagen,DK,city,95,Capital
Bucharest,RO,city,95,Bucharest
Lake Lucerne,CH,nature_reserve,94,Lucerne
Chiemsee,DE,nature_reserve,94,Bavaria
Tegernsee,DE,nature_reserve,94,Bavaria
Wolfgangsee,AT,nature_reserve,94,Salzburg
Abraham Lake,CA,nature_reserve,94,Alberta
Achensee,AT,nature_reserve,94,Tyrol
Lake Como,IT,nature_reserve,94,Lombardy
Zell am See,AT,nature_reserve,94,Salzburg
Deadwood,US,village,93,South Dakota
Bad Gastein,AT,village,93,Salzburg
Teruel,ES,medium_town,93,Aragon
Le Locle,CH,small_town,93,Neuenburg
Tavira,PT,small_town,93,Faro
Riomaggiore,IT,village,93,Liguria
Kuressaare,EE,small_town,93,Saare County
Soria,ES,medium_town,93,Castile and León
Positano,IT,village,93,Campania
León,ES,medium_town,93,Castile and León
Cernier,CH,village,93,Neuenburg
Plage de Saleccia,FR,beach,93,Corsica
Plage d'Essaouira,MA,beach,93,Marrakesh-Safi
Calanques de Cassis,FR,beach,93,Provence-Alpes-Côte d'Azur
Burgos,ES,medium_town,93,Castile and León
Segovia,ES,medium_town,93,Castile and León
Trogir,HR,small_town,93,Split-Dalmatia County
Ávila,ES,medium_town,93,Castile and León
Südstrand Fehmarn,DE,beach,93,Schleswig-Holstein
La Chaux-de-Fonds,CH,medium_town,93,Neuenburg
Moab,US,small_town,93,Utah
Skagen Beach,DK,beach,93,Nordjylland
Uttakleiv,NO,beach,93,Nordland
Cuenca,ES,medium_town,93,Castile-La Mancha
Vernazza,IT,village,93,Liguria
Salamanca,ES,medium_town,93,Castile and León
Jackson Lake,US,natural_park,92,Wyoming
Maroon Lake,US,natural_park,92,Colorado
Jenny Lake,US,natural_park,92,Wyoming
Waterton Lake,CA,natural_park,92,Alberta
Lake McDonald,US,natural_park,92,Montana
Lake O'Hara,CA,natural_park,92,British Columbia
Lago di Fusine,IT,natural_park,92,Friuli-Venezia Giulia
Diablo Lake,US,natural_park,92,Washington
Emerald Lake,CA,natural_park,92,British Columbia
Bow Lake,CA,natural_park,92,Alberta
Lago di Dobbiaco,IT,natural_park,92,South Tyrol
Lake Bohinj,SI,natural_park,92,Upper Carniola
Świnoujście,PL,medium_town,91,West Pomeranian Voivodeship
Bamburgh Beach,GB,beach,91,Northumberland
Sitka,US,small_town,91,Alaska
St Ives Beach,GB,beach,91,Cornwall
Haukland Beach,NO,beach,91,Nordland
Lefkáda,GR,small_town,91,Ioanian Islands
Bisbee,US,small_town,91,Arizona
Rømø Beach,DK,beach,91,Syddanmark
Sinemorets Beach,BG,beach,91,Burgas
Hilo,US,medium_town,91,Hawaii
Plage de Legzira,MA,beach,91,Souss-Massa
Roswell,US,medium_town,91,New Mexico
Newport,GB,medium_town,91,Wales
Patara Plajı,TR,beach,91,Antalya
Memphis,US,city,91,Tennessee
Oskarshamn,SE,small_town,91,Kalmar County
Crikvenica,HR,small_town,91,Primorje-Gorski Kotar County
Marfa,US,village,91,Texas
Kaputaş Plajı,TR,beach,91,Antalya
Møns Klint,DK,beach,91,Sjælland
Kodiak,US,small_town,91,Alaska
Djúpalónssandur,IS,beach,91,null
Forggensee,DE,nature_reserve,90,Bavaria
Turquoise Lake,US,nature_reserve,90,Colorado
Lake Maggiore,IT,nature_reserve,90,Piedmont
İztuzu Plajı,TR,beach,90,Muğla
Mondsee,AT,nature_reserve,90,Upper Austria
Vienna,AT,city,90,Wien
Einsiedeln,CH,small_town,90,Schwyz
Plage de Quiberon,FR,beach,90,Bretagne
Plage du Cap Ferret,FR,beach,90,Nouvelle-Aquitaine
Haarlem,NL,medium_town,90,North Holland
Cabo San Lucas,MX,city,90,Baja California Sur
